 * Serving Flask app "cartos.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5002/ (Press CTRL+C to quit)
127.0.0.1 - - [19/Jun/2021 15:11:02] "GET /elementos/ver/RPT017/foto HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:11:02] "GET /elementos/ver/RPT016/foto HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:11:02] "GET /elementos/ver/RPT015/foto HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:11:02] "GET /elementos/ver/RPT014/foto HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:11:18] "GET /home/index HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:11:37] "GET /users/active?nome=jna HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:11:40] "GET /users/users?nome=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:11:52] "GET /home/index HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:11:54] "GET /elementos/elementos?nome=jna HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:12:05] "GET /elementos/ver/RPT019/ficheiro HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:12:05] "GET /elementos/ver/RPT019/video HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:12:05] "GET /elementos/editoras HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:12:05] "GET /elementos/linguas HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:12:05] "GET /elementos/tipos HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:12:05] "GET /elementos/colecoes HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:12:09] "GET /elementos/elementos?nome=jna HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:12:14] "GET /home/index HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:12:46] "GET /elementos/elementos?nome=jna HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:12:48] "GET /home/index HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:12:52] "GET /elementos/elementos?nome=jna HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:13:31] "GET /users/users?nome=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:13:33] "GET /elementos/editoras HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:13:33] "GET /elementos/colecoes HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:13:35] "GET /elementos/elementos?nome=jna HTTP/1.1" 200 -
127.0.0.1 - - [19/Jun/2021 15:13:36] "GET /home/index HTTP/1.1" 200 -
